project_id,cost_date,cost_category,vendor,actual_cost
1012,2023-04-01,Other,EnviroConsult Group,25797.25
1012,2023-05-01,Labor,PrimeFit Contractors,101061.64
1012,2023-05-01,Subcontract,Precision Paving LLC,116606.12
1012,2023-05-01,Equipment,HeavyHaul Rentals,45145.95
1012,2023-06-01,Materials,SolarGrid Components,115519.63
1012,2023-06-01,Other,City Services Co,48158.94
1012,2023-06-01,Subcontract,SecureNet Cabling,123354.75
1012,2023-06-01,Equipment,GreenField Rentals,31817.23
1012,2023-06-01,Labor,PrimeFit Contractors,65811.74
1012,2023-07-01,Materials,OfficePlus Supply,108373.87
1012,2023-07-01,Labor,Campus Builders LLC,126755.3
1012,2023-07-01,Other,Transit Advisory Group,22475.02
1012,2023-07-01,Equipment,HeavyHaul Rentals,29130.59
1012,2023-07-01,Subcontract,HighSky Electrical,69231.7
1012,2023-08-01,Subcontract,Precision Paving LLC,93314.81
1012,2023-08-01,Other,IT Commissioning Ltd,14619.22
1012,2023-08-01,Labor,UrbanCore Builders,125384.42
1012,2023-09-01,Other,City Services Co,23293.42
1012,2023-09-01,Equipment,Stadium Rentals Inc,62089.02
1012,2023-09-01,Subcontract,Elite Interiors Group,79649.76
1012,2023-09-01,Materials,SolarGrid Components,99555.12
1012,2023-10-01,Other,DesignPartners Ltd,21177.12
1012,2023-10-01,Labor,Sunrise Construction,106581.55
1012,2023-10-01,Equipment,HighLift Rentals,32478.77
1012,2023-11-01,Equipment,Stadium Rentals Inc,43855.1
1012,2023-11-01,Materials,SportsField Supply Co,158900.24
1012,2023-11-01,Other,EnviroConsult Group,21856.06
1012,2023-11-01,Labor,PrimeFit Contractors,121081.03
1012,2023-11-01,Subcontract,Elevate Interiors,62795.08
1012,2023-12-01,Labor,ArenaBuild Contractors,107877.52
1012,2023-12-01,Equipment,HighLift Rentals,33439.17
1012,2023-12-01,Materials,Urban Steel Co,111377.94
1012,2023-12-01,Other,Transit Advisory Group,21230.99
1012,2023-12-01,Subcontract,SignalTech Systems,45190.75
